title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_material,field_material_short_description,field_finish,field_spring_type,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_thickness_build_spec_in,field_thickness_in,field_thickness_mm,field_thickness_cm,field_thickness_tol_build_spe_in,field_thickness_tolerance_in,field_thickness_tolerance_mm,field_thickness_tolerance_cm,field_cal_load_flat_bld_spc_in,field_calculated_load_at_flat_lb,field_calculated_load_at_flat_n,field_calculated_load_at_flat_kg,field_calculated_load_at_flat_gm,field_free_height_build_spec_in,field_free_height_in,field_free_height_mm,field_free_height_cm,field_free_height_tol_bld_in,field_free_height_tolerance_in,field_free_height_tolerance_mm,field_free_height_tolerance_cm,field_bolt_size_imperial,field_bolt_size_metric,field_weight_per_item_lb
1016-090-3000,1016-090-3000,10160903000,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,3,3,76.2,7.62,Maximum,Maximum,Maximum,Maximum,1,1,25.4,2.54,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1.016,1.016,25.81,2.581,Minimum,Minimum,Minimum,Minimum,0.09,0.09,2.29,0.229,+/-0.003,+/-0.003,+/-0.076,+/-0.0076,1170.9,1170.9,5208.4,531.1,531120.2,0.18,0.18,4.57,0.457,+/-0.012,+/-0.012,+/-0.305,+/-0.0305,1,M25,0.167836
1016-118-2000,1016-118-2000,10161182000,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,2,2,50.8,5.08,Maximum,Maximum,Maximum,Maximum,1,1,25.4,2.54,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1.016,1.016,25.81,2.581,Minimum,Minimum,Minimum,Minimum,0.118,0.118,3,0.3,+/-0.004,+/-0.004,+/-0.102,+/-0.0102,3504.4,3504.4,15588.3,1589.6,1589595.8,0.165,0.165,4.19,0.419,+/-0.012,+/-0.012,+/-0.305,+/-0.0305,1,M25,0.081962
1063-219-3500,1063-219-3500,10632193500,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,3.5,3.5,88.9,8.89,Maximum,Maximum,Maximum,Maximum,1.063,1.063,27,2.7,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1.063,1.063,27,2.7,Minimum,Minimum,Minimum,Minimum,0.219,0.219,5.56,0.556,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,8477.4,8477.4,37709.4,3845.3,3845348.6,0.281,0.281,7.14,0.714,+/-0.018,+/-0.018,+/-0.457,+/-0.0457,1 1/16,M26,0.569976
1125-059-2250,1125-059-2250,11250592250,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,2.25,2.25,57.15,5.715,Maximum,Maximum,Maximum,Maximum,1.125,1.125,28.58,2.858,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1.125,1.125,28.58,2.858,Minimum,Minimum,Minimum,Minimum,0.059,0.059,1.5,0.15,+/-0.003,+/-0.003,+/-0.076,+/-0.0076,561.9,561.9,2499.5,254.9,254877.8,0.136,0.136,3.45,0.345,+/-0.01,+/-0.01,+/-0.254,+/-0.0254,1 1/8,M28,0.052431
1125-073-2250,1125-073-2250,11250732250,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,2.25,2.25,57.15,5.715,Maximum,Maximum,Maximum,Maximum,1.125,1.125,28.58,2.858,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1.125,1.125,28.58,2.858,Minimum,Minimum,Minimum,Minimum,0.073,0.073,1.85,0.185,+/-0.003,+/-0.003,+/-0.076,+/-0.0076,1036.684,1036.7,4611.4,470.2,470239.9,0.148,0.148,3.76,0.376,+/-0.010,+/-0.010,+/-0.254,+/-0.0254,1 1/8,M28,0.064872
1130-206-2750,1130-206-2750,11302062750,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,2.75,2.75,69.85,6.985,Maximum,Maximum,Maximum,Maximum,1.125,1.125,28.58,2.858,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1.13,1.13,28.7,2.87,Minimum,Minimum,Minimum,Minimum,0.206,0.206,5.23,0.523,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,12685.3,12685.3,56427,5754.1,5754052.1,0.272,0.272,6.91,0.691,+/-0.018,+/-0.018,+/-0.457,+/-0.0457,1 1/8,M28,0.303054
1250-080-2500,1250-080-2500,12500802500,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,2.5,2.5,63.5,6.35,Maximum,Maximum,Maximum,Maximum,1.25,1.25,31.75,3.175,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1.25,1.25,31.75,3.175,Minimum,Minimum,Minimum,Minimum,0.08,0.08,2.03,0.203,+/-0.003,+/-0.003,+/-0.076,+/-0.0076,1178.858,1178.9,5243.8,534.7,534730,0.16,0.16,4.06,0.406,+/-0.010,+/-0.010,+/-0.254,+/-0.0254,1 1/4,M30,0.087768
125-008-250,125-008-250,125008250,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.25,0.25,6.35,0.635,Maximum,Maximum,Maximum,Maximum,0.125,0.125,3.18,0.318,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.125,0.125,3.18,0.318,Minimum,Minimum,Minimum,Minimum,0.008,0.008,0.2,0.02,+/-0.0006,+/-0.0006,+/-0.015,+/-0.0015,11.789,11.8,52.4,5.3,5347.5,0.016,0.016,0.41,0.041,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,1/8,M3,0.000088
125-012-236,125-012-236,125012236,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.236,0.236,5.99,0.599,Maximum,Maximum,Maximum,Maximum,0.125,0.125,3.18,0.318,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.125,0.125,3.18,0.318,Minimum,Minimum,Minimum,Minimum,0.012,0.012,0.3,0.03,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,34.7,34.7,154.4,15.7,15739.9,0.018,0.018,0.46,0.046,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,1/8,M3,0.000113
125-012-394,125-012-394,125012394,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Maximum,Maximum,Maximum,Maximum,0.125,0.125,3.18,0.318,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.125,0.125,3.18,0.318,Minimum,Minimum,Minimum,Minimum,0.012,0.012,0.3,0.03,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,24.9,24.9,110.8,11.3,11294.6,0.026,0.026,0.66,0.066,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,1/8,M3,0.000392
125-013-250,125-013-250,125013250,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.25,0.25,6.35,0.635,Maximum,Maximum,Maximum,Maximum,0.125,0.125,3.18,0.318,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.125,0.125,3.18,0.318,Minimum,Minimum,Minimum,Minimum,0.013,0.013,0.33,0.033,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,44.262,44.3,196.9,20.1,20077.2,0.02,0.02,0.51,0.051,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,1/8,M3,0.000143
125-016-394,125-016-394,125016394,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Maximum,Maximum,Maximum,Maximum,0.125,0.125,3.18,0.318,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.125,0.125,3.18,0.318,Minimum,Minimum,Minimum,Minimum,0.016,0.016,0.41,0.041,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,50.6,50.6,225.1,23,22952.2,0.028,0.028,0.71,0.071,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,1/8,M3,0.000523
125-020-394,125-020-394,125020394,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Maximum,Maximum,Maximum,Maximum,0.125,0.125,3.18,0.318,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.125,0.125,3.18,0.318,Minimum,Minimum,Minimum,Minimum,0.02,0.02,0.51,0.051,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,82.3,82.3,366.1,37.3,37331.3,0.03,0.03,0.76,0.076,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,1/8,M3,0.000654
1250-219-2250,1250-219-2250,12502192250,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,2.25,2.25,57.15,5.715,Maximum,Maximum,Maximum,Maximum,1.25,1.25,31.75,3.175,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1.25,1.25,31.75,3.175,Minimum,Minimum,Minimum,Minimum,0.219,0.219,5.56,0.556,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,13217.9,13217.9,58796.2,5995.6,5995639.4,0.252,0.252,6.4,0.64,+/-0.018,+/-0.018,+/-0.457,+/-0.0457,1 1/4,M30,0.179398
1255-168-3750,1255-168-3750,12551683750,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,3.75,3.75,95.25,9.525,Maximum,Maximum,Maximum,Maximum,1.25,1.25,31.75,3.175,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1.255,1.255,31.88,3.188,Minimum,Minimum,Minimum,Minimum,0.168,0.168,4.27,0.427,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,4489.8,4489.8,19971.6,2036.6,2036573.3,0.251,0.251,6.38,0.638,+/-0.018,+/-0.018,+/-0.457,+/-0.0457,1 1/4,M30,0.49101
1255-187-2500,1255-187-2500,12551872500,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,2.5,2.5,63.5,6.35,Maximum,Maximum,Maximum,Maximum,1.25,1.25,31.75,3.175,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1.255,1.255,31.88,3.188,Minimum,Minimum,Minimum,Minimum,0.187,0.187,4.75,0.475,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,10185.8,10185.8,45308.7,4620.3,4620278.9,0.241,0.241,6.12,0.612,+/-0.015,+/-0.015,+/-0.381,+/-0.0381,1 1/4,M30,0.20461
138-010-281,138-010-281,138010281,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.281,0.281,7.14,0.714,Maximum,Maximum,Maximum,Maximum,0.138,0.138,3.51,0.351,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.138,0.138,3.51,0.351,Minimum,Minimum,Minimum,Minimum,0.01,0.01,0.25,0.025,+/-0.0006,+/-0.0006,+/-0.015,+/-0.0015,22.561,22.6,100.4,10.2,10233.7,0.02,0.02,0.51,0.051,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#6,M3.5,0.00014
138-012-281,138-012-281,138012281,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.281,0.281,7.14,0.714,Maximum,Maximum,Maximum,Maximum,0.138,0.138,3.51,0.351,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.138,0.138,3.51,0.351,Minimum,Minimum,Minimum,Minimum,0.012,0.012,0.3,0.03,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,27.29,27.3,121.4,12.4,12378.7,0.019,0.019,0.48,0.048,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#6,M3.5,0.000168
138-013-281,138-013-281,138013281,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.281,0.281,7.14,0.714,Maximum,Maximum,Maximum,Maximum,0.138,0.138,3.51,0.351,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.138,0.138,3.51,0.351,Minimum,Minimum,Minimum,Minimum,0.013,0.013,0.33,0.033,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,39.653,39.7,176.4,18,17986.6,0.021,0.021,0.53,0.053,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#6,M3.5,0.000182
138-015-281,138-015-281,138015281,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.281,0.281,7.14,0.714,Maximum,Maximum,Maximum,Maximum,0.138,0.138,3.51,0.351,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.138,0.138,3.51,0.351,Minimum,Minimum,Minimum,Minimum,0.015,0.015,0.38,0.038,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,60.914,60.9,271,27.6,27630.6,0.023,0.023,0.58,0.058,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#6,M3.5,0.00021
138-022-437,138-022-437,138022437,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.437,0.437,11.1,1.11,Maximum,Maximum,Maximum,Maximum,0.138,0.138,3.51,0.351,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.138,0.138,3.51,0.351,Minimum,Minimum,Minimum,Minimum,0.022,0.022,0.56,0.056,+/-0.0015,+/-0.0015,+/-0.038,+/-0.0038,89.1,89.1,396.3,40.4,40415.8,0.032,0.032,0.81,0.081,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#6,M3.5,0.000885
1406-132-2750,1406-132-2750,14061322750,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,2.75,2.75,69.85,6.985,Maximum,Maximum,Maximum,Maximum,1.406,1.406,35.71,3.571,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1.406,1.406,35.71,3.571,Minimum,Minimum,Minimum,Minimum,0.132,0.132,3.35,0.335,+/-0.004,+/-0.004,+/-0.102,+/-0.0102,3546.7,3546.7,15776.5,1608.8,1608783.1,0.196,0.196,4.98,0.498,+/-0.012,+/-0.012,+/-0.305,+/-0.0305,1 13/32,M35,0.172566
148-009-281,148-009-281,148009281,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.281,0.281,7.14,0.714,Maximum,Maximum,Maximum,Maximum,0.138,0.138,3.51,0.351,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.148,0.148,3.76,0.376,Minimum,Minimum,Minimum,Minimum,0.009,0.009,0.23,0.023,+/-0.0006,+/-0.0006,+/-0.015,+/-0.0015,13.714,13.7,61,6.2,6220.7,0.017,0.017,0.43,0.043,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#6,M3.5,0.00012
148-011-281,148-011-281,148011281,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.281,0.281,7.14,0.714,Maximum,Maximum,Maximum,Maximum,0.138,0.138,3.51,0.351,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.148,0.148,3.76,0.376,Minimum,Minimum,Minimum,Minimum,0.011,0.011,0.28,0.028,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,18.779,18.8,83.5,8.5,8518.2,0.017,0.017,0.43,0.043,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#6,M3.5,0.000147
148-013-281,148-013-281,148013281,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.281,0.281,7.14,0.714,Maximum,Maximum,Maximum,Maximum,0.138,0.138,3.51,0.351,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.148,0.148,3.76,0.376,Minimum,Minimum,Minimum,Minimum,0.013,0.013,0.33,0.033,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,30.998,31,137.9,14.1,14060.7,0.019,0.019,0.48,0.048,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#6,M3.5,0.000174
148-015-281,148-015-281,148015281,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.281,0.281,7.14,0.714,Maximum,Maximum,Maximum,Maximum,0.138,0.138,3.51,0.351,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.148,0.148,3.76,0.376,Minimum,Minimum,Minimum,Minimum,0.015,0.015,0.38,0.038,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,71.427,71.4,317.7,32.4,32399.3,0.024,0.024,0.61,0.061,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#6,M3.5,0.0002
156-009-312,156-009-312,156009312,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.312,0.312,7.92,0.792,Maximum,Maximum,Maximum,Maximum,0.156,0.156,3.96,0.396,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.156,0.156,3.96,0.396,Minimum,Minimum,Minimum,Minimum,0.009,0.009,0.23,0.023,+/-0.0006,+/-0.0006,+/-0.015,+/-0.0015,14.818,14.8,65.9,6.7,6721.4,0.02,0.02,0.51,0.051,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,5/32,M3.5,0.000154
156-010-312,156-010-312,156010312,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.312,0.312,7.92,0.792,Maximum,Maximum,Maximum,Maximum,0.156,0.156,3.96,0.396,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.156,0.156,3.96,0.396,Minimum,Minimum,Minimum,Minimum,0.01,0.01,0.25,0.025,+/-0.0006,+/-0.0006,+/-0.015,+/-0.0015,18.479,18.5,82.2,8.4,8382.1,0.02,0.02,0.51,0.051,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,5/32,M3.5,0.000171
