stock_code,price_code,price,min,currency
LB 024B 01 AAA                ,H ,0.722,599,$  
LB 024B 01 AAA                ,I ,0.653,699,$  
LB 024B 01 AAA                ,J ,0.596,799,$  
LB 024B 01 AAA                ,K ,0.546,899,$  
LB 024B 01 AAA                ,L ,0.508,999,$  
LB 024B 01 AAA                ,M ,0.479,1000,$  
LB 024C 01 AA                 ,A ,6.17,19,$  
LB 024C 01 AA                 ,B ,3.54,49,$  
LB 024C 01 AA                 ,C ,1.82,99,$  
LB 024C 01 AA                 ,D ,1.11,199,$  
LB 024C 01 AA                 ,E ,0.905,299,$  
LB 024C 01 AA                 ,F ,0.82,399,$  
LB 024C 01 AA                 ,G ,0.742,499,$  
LB 024C 01 AA                 ,H ,0.675,599,$  
LB 024C 01 AA                 ,I ,0.614,699,$  
LB 024C 01 AA                 ,J ,0.566,799,$  
LB 024C 01 AA                 ,K ,0.522,899,$  
LB 024C 01 AA                 ,L ,0.488,999,$  
LB 024C 01 AA                 ,M ,0.462,1000,$  
LB 024C 01 AAA                ,A ,6.17,19,$  
LB 024C 01 AAA                ,B ,3.54,49,$  
LB 024C 01 AAA                ,C ,1.82,99,$  
LB 024C 01 AAA                ,D ,1.11,199,$  
LB 024C 01 AAA                ,E ,0.904,299,$  
LB 024C 01 AAA                ,F ,0.82,399,$  
LB 024C 01 AAA                ,G ,0.742,499,$  
LB 024C 01 AAA                ,H ,0.675,599,$  
LB 024C 01 AAA                ,I ,0.614,699,$  
LB 024C 01 AAA                ,J ,0.565,799,$  
LB 024C 01 AAA                ,K ,0.521,899,$  
LB 024C 01 AAA                ,L ,0.487,999,$  
LB 024C 01 AAA                ,M ,0.461,1000,$  
LB 024D 01 AA                 ,A ,8.66,19,$  
LB 024D 01 AA                 ,B ,5.08,49,$  
LB 024D 01 AA                 ,C ,2.79,99,$  
LB 024D 01 AA                 ,D ,1.78,199,$  
LB 024D 01 AA                 ,E ,1.473,299,$  
LB 024D 01 AA                 ,F ,1.346,399,$  
LB 024D 01 AA                 ,G ,1.235,499,$  
LB 024D 01 AA                 ,H ,1.136,599,$  
LB 024D 01 AA                 ,I ,1.046,699,$  
LB 024D 01 AA                 ,J ,0.972,799,$  
LB 024D 01 AA                 ,K ,0.909,899,$  
LB 024D 01 AA                 ,L ,0.859,999,$  
LB 024D 01 AA                 ,M ,0.823,1000,$  
LB 024D 01 AAA                ,A ,8.66,19,$  
LB 024D 01 AAA                ,B ,5.08,49,$  
LB 024D 01 AAA                ,C ,2.79,99,$  
LB 024D 01 AAA                ,D ,1.78,199,$  
LB 024D 01 AAA                ,E ,1.472,299,$  
LB 024D 01 AAA                ,F ,1.345,399,$  
LB 024D 01 AAA                ,G ,1.232,499,$  
LB 024D 01 AAA                ,H ,1.133,599,$  
LB 024D 01 AAA                ,I ,1.044,699,$  
LB 024D 01 AAA                ,J ,0.969,799,$  
LB 024D 01 AAA                ,K ,0.906,899,$  
LB 024D 01 AAA                ,L ,0.855,999,$  
LB 024D 01 AAA                ,M ,0.818,1000,$  
LB 032A 01 C                  ,A ,6.56,19,$  
LB 032A 01 C                  ,B ,3.78,49,$  
LB 032A 01 C                  ,C ,1.97,99,$  
LB 032A 01 C                  ,D ,1.22,199,$  
LB 032A 01 C                  ,E ,0.99,299,$  
LB 032A 01 C                  ,F ,0.896,399,$  
LB 032A 01 C                  ,G ,0.813,499,$  
LB 032A 01 C                  ,H ,0.736,599,$  
LB 032A 01 C                  ,I ,0.67,699,$  
LB 032A 01 C                  ,J ,0.613,799,$  
LB 032A 01 C                  ,K ,0.568,899,$  
LB 032A 01 C                  ,L ,0.529,999,$  
LB 032A 01 C                  ,M ,0.501,1000,$  
LB 032B 01 C                  ,A ,6.56,19,$  
LB 032B 01 C                  ,B ,3.78,49,$  
LB 032B 01 C                  ,C ,1.97,99,$  
LB 032B 01 C                  ,D ,1.22,199,$  
LB 032B 01 C                  ,E ,0.993,299,$  
LB 032B 01 C                  ,F ,0.9,399,$  
LB 032B 01 C                  ,G ,0.816,499,$  
LB 032B 01 C                  ,H ,0.74,599,$  
LB 032B 01 C                  ,I ,0.676,699,$  
LB 032B 01 C                  ,J ,0.618,799,$  
LB 032B 01 C                  ,K ,0.574,899,$  
LB 032B 01 C                  ,L ,0.535,999,$  
LB 032B 01 C                  ,M ,0.508,1000,$  
LB 032C 01 C                  ,A ,6.17,19,$  
LB 032C 01 C                  ,B ,3.54,49,$  
LB 032C 01 C                  ,C ,1.82,99,$  
LB 032C 01 C                  ,D ,1.11,199,$  
LB 032C 01 C                  ,E ,0.905,299,$  
LB 032C 01 C                  ,F ,0.822,399,$  
LB 032C 01 C                  ,G ,0.743,499,$  
LB 032C 01 C                  ,H ,0.676,599,$  
LB 032C 01 C                  ,I ,0.616,699,$  
LB 032C 01 C                  ,J ,0.567,799,$  
LB 032C 01 C                  ,K ,0.523,899,$  
LB 032C 01 C                  ,L ,0.489,999,$  
LB 032C 01 C                  ,M ,0.463,1000,$  
LB 032D 01 C                  ,A ,8.66,19,$  
LB 032D 01 C                  ,B ,5.08,49,$  
LB 032D 01 C                  ,C ,2.79,99,$  
LB 032D 01 C                  ,D ,1.78,199,$  
LB 032D 01 C                  ,E ,1.485,299,$  
LB 032D 01 C                  ,F ,1.366,399,$  
LB 032D 01 C                  ,G ,1.256,499,$  
LB 032D 01 C                  ,H ,1.159,599,$  
LB 032D 01 C                  ,I ,1.075,699,$  
LB 032D 01 C                  ,J ,1.004,799,$  
LB 032D 01 C                  ,K ,0.943,899,$  
LB 032D 01 C                  ,L ,0.895,999,$  
LB 032D 01 C                  ,M ,0.859,1000,$  
LB 036A 01 D                  ,A ,6.56,19,$  
LB 036A 01 D                  ,B ,3.78,49,$  
LB 036A 01 D                  ,C ,1.97,99,$  
LB 036A 01 D                  ,D ,1.22,199,$  
LB 036A 01 D                  ,E ,0.989,299,$  
LB 036A 01 D                  ,F ,0.894,399,$  
LB 036A 01 D                  ,G ,0.809,499,$  
LB 036A 01 D                  ,H ,0.733,599,$  
LB 036A 01 D                  ,I ,0.666,699,$  
LB 036A 01 D                  ,J ,0.609,799,$  
LB 036A 01 D                  ,K ,0.564,899,$  
LB 036A 01 D                  ,L ,0.524,999,$  
LB 036A 01 D                  ,M ,0.497,1000,$  
LB 036B 01 D                  ,A ,6.56,19,$  
LB 036B 01 D                  ,B ,3.78,49,$  
LB 036B 01 D                  ,C ,1.97,99,$  
LB 036B 01 D                  ,D ,1.22,199,$  
LB 036B 01 D                  ,E ,0.989,299,$  
LB 036B 01 D                  ,F ,0.895,399,$  
LB 036B 01 D                  ,G ,0.811,499,$  
LB 036B 01 D                  ,H ,0.734,599,$  
LB 036B 01 D                  ,I ,0.668,699,$  
LB 036B 01 D                  ,J ,0.611,799,$  
LB 036B 01 D                  ,K ,0.565,899,$  
LB 036B 01 D                  ,L ,0.526,999,$  
LB 036B 01 D                  ,M ,0.498,1000,$  
LB 036C 01 D                  ,A ,6.17,19,$  
LB 036C 01 D                  ,B ,3.54,49,$  
LB 036C 01 D                  ,C ,1.82,99,$  
LB 036C 01 D                  ,D ,1.11,199,$  
LB 036C 01 D                  ,E ,0.906,299,$  
LB 036C 01 D                  ,F ,0.823,399,$  
LB 036C 01 D                  ,G ,0.747,499,$  
LB 036C 01 D                  ,H ,0.679,599,$  
LB 036C 01 D                  ,I ,0.619,699,$  
LB 036C 01 D                  ,J ,0.57,799,$  
LB 036C 01 D                  ,K ,0.527,899,$  
LB 036C 01 D                  ,L ,0.493,999,$  
LB 036C 01 D                  ,M ,0.467,1000,$  
LB 036D 01 D                  ,A ,8.66,19,$  
LB 036D 01 D                  ,B ,5.08,49,$  
LB 036D 01 D                  ,C ,2.79,99,$  
LB 036D 01 D                  ,D ,1.78,199,$  
LB 036D 01 D                  ,E ,1.485,299,$  
LB 036D 01 D                  ,F ,1.367,399,$  
LB 036D 01 D                  ,G ,1.257,499,$  
LB 036D 01 D                  ,H ,1.16,599,$  
LB 036D 01 D                  ,I ,1.076,699,$  
LB 036D 01 D                  ,J ,1.005,799,$  
LB 036D 01 D                  ,K ,0.946,899,$  
LB 036D 01 D                  ,L ,0.896,999,$  
LB 036D 01 D                  ,M ,0.861,1000,$  
LBC 028A 01 AAA               ,A ,8.12,19,$  
LBC 028A 01 AAA               ,B ,4.72,49,$  
LBC 028A 01 AAA               ,C ,2.57,99,$  
LBC 028A 01 AAA               ,D ,1.64,199,$  
LBC 028A 01 AAA               ,E ,1.39,299,$  
LBC 028A 01 AAA               ,F ,1.15,399,$  
LBC 028A 01 AAA               ,G ,0.982,499,$  
LBC 028A 01 AAA               ,H ,0.86,599,$  
LBC 028A 01 AAA               ,I ,0.768,699,$  
LBC 028A 01 AAA               ,J ,0.695,799,$  
LBC 028A 01 AAA               ,K ,0.636,899,$  
LBC 028A 01 AAA               ,L ,0.588,999,$  
LBC 028A 01 AAA               ,M ,0.546,1000,$  
LBC 038A 01 C                 ,A ,8.66,19,$  
LBC 038A 01 C                 ,B ,5.08,49,$  
LBC 038A 01 C                 ,C ,2.79,99,$  
LBC 038A 01 C                 ,D ,1.78,199,$  
LBC 038A 01 C                 ,E ,1.486,299,$  
LBC 038A 01 C                 ,F ,1.224,399,$  
LBC 038A 01 C                 ,G ,1.042,499,$  
LBC 038A 01 C                 ,H ,0.911,599,$  
LBC 038A 01 C                 ,I ,0.813,699,$  
LBC 038A 01 C                 ,J ,0.735,799,$  
LBC 038A 01 C                 ,K ,0.671,899,$  
LBC 038A 01 C                 ,L ,0.619,999,$  
LBC 038A 01 C                 ,M ,0.577,1000,$  
LBC 040C 01 D                 ,A ,11.87,19,$  
LBC 040C 01 D                 ,B ,7.17,49,$  
LBC 040C 01 D                 ,C ,4.26,99,$  
LBC 040C 01 D                 ,D ,2.9,199,$  
LBC 040C 01 D                 ,E ,2.25,299,$  
LBC 040C 01 D                 ,F ,1.895,399,$  
LBC 040C 01 D                 ,G ,1.642,499,$  
LBC 040C 01 D                 ,H ,1.445,599,$  
LBC 040C 01 D                 ,I ,1.284,699,$  
LBC 040C 01 D                 ,J ,1.147,799,$  
LBC 040C 01 D                 ,K ,1.028,899,$  
LBC 040C 01 D                 ,L ,0.923,999,$  
LBC 040C 01 D                 ,M ,0.872,1000,$  
LBC 028A 01 AA                ,A ,8.12,19,$  
LBC 028A 01 AA                ,B ,4.72,49,$  
LBC 028A 01 AA                ,C ,2.57,99,$  
LBC 028A 01 AA                ,D ,1.64,199,$  
LBC 028A 01 AA                ,E ,1.392,299,$  
LBC 028A 01 AA                ,F ,1.152,399,$  
LBC 028A 01 AA                ,G ,0.984,499,$  
LBC 028A 01 AA                ,H ,0.861,599,$  
LBC 028A 01 AA                ,I ,0.769,699,$  
LBC 028A 01 AA                ,J ,0.697,799,$  
LBC 028A 01 AA                ,K ,0.637,899,$  
LBC 028A 01 AA                ,L ,0.589,999,$  
LBC 028A 01 AA                ,M ,0.547,1000,$  
LBC 040A 01 D                 ,A ,10.28,19,$  
LBC 040A 01 D                 ,B ,6.11,49,$  
LBC 040A 01 D                 ,C ,3.48,99,$  
LBC 040A 01 D                 ,D ,2.3,199,$  
LBC 040A 01 D                 ,E ,1.831,299,$  
LBC 040A 01 D                 ,F ,1.571,399,$  
LBC 040A 01 D                 ,G ,1.387,499,$  
LBC 040A 01 D                 ,H ,1.243,599,$  
LBC 040A 01 D                 ,I ,1.125,699,$  
LBC 040A 01 D                 ,J ,1.024,799,$  
LBC 040A 01 D                 ,K ,0.938,899,$  
LBC 040A 01 D                 ,L ,0.861,999,$  
LBC 040A 01 D                 ,M ,0.792,1000,$  
LBC 028B 01 AA                ,A ,8.12,19,$  
LBC 028B 01 AA                ,B ,4.72,49,$  
LBC 028B 01 AA                ,C ,2.57,99,$  
LBC 028B 01 AA                ,D ,1.64,199,$  
LBC 028B 01 AA                ,E ,1.365,299,$  
LBC 028B 01 AA                ,F ,1.207,399,$  
LBC 028B 01 AA                ,G ,1.096,499,$  
LBC 028B 01 AA                ,H ,1.009,599,$  
LBC 028B 01 AA                ,I ,0.938,699,$  
LBC 028B 01 AA                ,J ,0.878,799,$  
LBC 028B 01 AA                ,K ,0.826,899,$  
LBC 028B 01 AA                ,L ,0.779,999,$  
LBC 028B 01 AA                ,M ,0.738,1000,$  
LBC 028B 01 AAA               ,A ,8.12,19,$  
LBC 028B 01 AAA               ,B ,4.72,49,$  
LBC 028B 01 AAA               ,C ,2.57,99,$  
LBC 028B 01 AAA               ,D ,1.64,199,$  
LBC 028B 01 AAA               ,E ,1.361,299,$  
LBC 028B 01 AAA               ,F ,1.202,399,$  
LBC 028B 01 AAA               ,G ,1.09,499,$  
LBC 028B 01 AAA               ,H ,1.002,599,$  
LBC 028B 01 AAA               ,I ,0.929,699,$  
LBC 028B 01 AAA               ,J ,0.869,799,$  
LBC 028B 01 AAA               ,K ,0.817,899,$  
LBC 028B 01 AAA               ,L ,0.769,999,$  
LBC 028B 01 AAA               ,M ,0.728,1000,$  
LBC 038B 01 C                 ,A ,8.66,19,$  
LBC 038B 01 C                 ,B ,5.08,49,$  
LBC 038B 01 C                 ,C ,2.79,99,$  
LBC 038B 01 C                 ,D ,1.78,199,$  
LBC 038B 01 C                 ,E ,1.475,299,$  
LBC 038B 01 C                 ,F ,1.307,399,$  
LBC 038B 01 C                 ,G ,1.185,499,$  
LBC 038B 01 C                 ,H ,1.091,599,$  
LBC 038B 01 C                 ,I ,1.014,699,$  
LBC 038B 01 C                 ,J ,0.949,799,$  
LBC 038B 01 C                 ,K ,0.892,899,$  
LBC 038B 01 C                 ,L ,0.842,999,$  
LBC 038B 01 C                 ,M ,0.796,1000,$  
LBC 040B 01 D                 ,A ,10.28,19,$  
LBC 040B 01 D                 ,B ,6.11,49,$  
LBC 040B 01 D                 ,C ,3.48,99,$  
LBC 040B 01 D                 ,D ,2.3,199,$  
LBC 040B 01 D                 ,E ,1.838,299,$  
LBC 040B 01 D                 ,F ,1.58,399,$  
LBC 040B 01 D                 ,G ,1.398,499,$  
LBC 040B 01 D                 ,H ,1.256,599,$  
LBC 040B 01 D                 ,I ,1.14,699,$  
LBC 040B 01 D                 ,J ,1.041,799,$  
LBC 040B 01 D                 ,K ,0.956,899,$  
LBC 040B 01 D                 ,L ,0.881,999,$  
LBC 040B 01 D                 ,M ,0.814,1000,$  
LBC 028C 01 AA                ,A ,7.58,19,$  
LBC 028C 01 AA                ,B ,4.4,49,$  
LBC 028C 01 AA                ,C ,2.34,99,$  
LBC 028C 01 AA                ,D ,1.47,199,$  
LBC 028C 01 AA                ,E ,1.252,299,$  
LBC 028C 01 AA                ,F ,1.127,399,$  
LBC 028C 01 AA                ,G ,1.036,499,$  
LBC 028C 01 AA                ,H ,0.968,599,$  
LBC 028C 01 AA                ,I ,0.91,699,$  
LBC 028C 01 AA                ,J ,0.862,799,$  
LBC 028C 01 AA                ,K ,0.821,899,$  
LBC 028C 01 AA                ,L ,0.783,999,$  
LBC 028C 01 AA                ,M ,0.751,1000,$  
LBC 028C 01 AAA               ,A ,7.58,19,$  
LBC 028C 01 AAA               ,B ,4.4,49,$  
LBC 028C 01 AAA               ,C ,2.34,99,$  
LBC 028C 01 AAA               ,D ,1.47,199,$  
LBC 028C 01 AAA               ,E ,1.249,299,$  
LBC 028C 01 AAA               ,F ,1.122,399,$  
LBC 028C 01 AAA               ,G ,1.03,499,$  
LBC 028C 01 AAA               ,H ,0.962,599,$  
LBC 028C 01 AAA               ,I ,0.903,699,$  
LBC 028C 01 AAA               ,J ,0.854,799,$  
LBC 028C 01 AAA               ,K ,0.813,899,$  
LBC 028C 01 AAA               ,L ,0.774,999,$  
LBC 028C 01 AAA               ,M ,0.741,1000,$  
LBC 038C 01 C                 ,A ,8.66,19,$  
LBC 038C 01 C                 ,B ,5.08,49,$  
LBC 038C 01 C                 ,C ,2.79,99,$  
LBC 038C 01 C                 ,D ,1.78,199,$  
LBC 038C 01 C                 ,E ,1.48,299,$  
LBC 038C 01 C                 ,F ,1.315,399,$  
LBC 038C 01 C                 ,G ,1.195,499,$  
LBC 038C 01 C                 ,H ,1.103,599,$  
LBC 038C 01 C                 ,I ,1.027,699,$  
LBC 038C 01 C                 ,J ,0.964,799,$  
LBC 038C 01 C                 ,K ,0.908,899,$  
LBC 038C 01 C                 ,L ,0.858,999,$  
LBC 038C 01 C                 ,M ,0.816,1000,$  
LBC 028D 01 AA                ,A ,9.29,19,$  
LBC 028D 01 AA                ,B ,5.48,49,$  
LBC 028D 01 AA                ,C ,3.05,99,$  
LBC 028D 01 AA                ,D ,1.99,199,$  
LBC 028D 01 AA                ,E ,1.778,299,$  
LBC 028D 01 AA                ,F ,1.662,399,$  
LBC 028D 01 AA                ,G ,1.58,499,$  
LBC 028D 01 AA                ,H ,1.517,599,$  
LBC 028D 01 AA                ,I ,1.465,699,$  
LBC 028D 01 AA                ,J ,1.421,799,$  
LBC 028D 01 AA                ,K ,1.384,899,$  
LBC 028D 01 AA                ,L ,1.349,999,$  
LBC 028D 01 AA                ,M ,1.319,1000,$  
LBC 028D 01 AAA               ,A ,10.59,19,$  
LBC 028D 01 AAA               ,B ,6.31,49,$  
LBC 028D 01 AAA               ,C ,3.62,99,$  
LBC 028D 01 AAA               ,D ,2.39,199,$  
LBC 028D 01 AAA               ,E ,2.051,299,$  
LBC 028D 01 AAA               ,F ,1.865,399,$  
LBC 028D 01 AAA               ,G ,1.732,499,$  
LBC 028D 01 AAA               ,H ,1.631,599,$  
LBC 028D 01 AAA               ,I ,1.545,699,$  
LBC 028D 01 AAA               ,J ,1.474,799,$  
LBC 028D 01 AAA               ,K ,1.412,899,$  
LBC 028D 01 AAA               ,L ,1.357,999,$  
LBC 028D 01 AAA               ,M ,1.309,1000,$  
LBC 038D 01 C                 ,A ,12.92,19,$  
LBC 038D 01 C                 ,B ,7.85,49,$  
LBC 038D 01 C                 ,C ,4.76,99,$  
LBC 038D 01 C                 ,D ,3.28,199,$  
LBC 038D 01 C                 ,E ,2.698,299,$  
LBC 038D 01 C                 ,F ,2.386,399,$  
LBC 038D 01 C                 ,G ,2.165,499,$  
LBC 038D 01 C                 ,H ,1.992,599,$  
LBC 038D 01 C                 ,I ,1.851,699,$  
LBC 038D 01 C                 ,J ,1.73,799,$  
LBC 038D 01 C                 ,K ,1.628,899,$  
LBC 038D 01 C                 ,L ,1.536,999,$  
LBC 038D 01 C                 ,M ,1.454,1000,$  
LBC 040D 01 D                 ,A ,14.85,19,$  
LBC 040D 01 D                 ,B ,9.21,49,$  
LBC 040D 01 D                 ,C ,5.87,99,$  
LBC 040D 01 D                 ,D ,4.16,199,$  
LBC 040D 01 D                 ,E ,3.321,299,$  
LBC 040D 01 D                 ,F ,2.865,399,$  
LBC 040D 01 D                 ,G ,2.538,499,$  
LBC 040D 01 D                 ,H ,2.285,599,$  
LBC 040D 01 D                 ,I ,2.079,699,$  
LBC 040D 01 D                 ,J ,1.903,799,$  
LBC 040D 01 D                 ,K ,1.75,899,$  
LBC 040D 01 D                 ,L ,1.616,999,$  
LBC 040D 01 D                 ,M ,1.496,1000,$  
